80CE62,Hewlett
801F12,Microchip
506CBE,InnosiliconTechnology
247E12,Cisco
04C241,Nokia
3C479B,Theissen
606BFF,Nintendo
8CF710,AMPAK
307BAC,New
785DC8,LG
3C0461,ARRIS
883D24,Google
E8C1B8,
D8D775,Sagemcom
E8330D,Xaptec
D460E3,Sercomm
B4A8B9,Cisco
50DCE7,Amazon
649829,Integrated
081DC4,Thermo
785364,SHIFT
38E60A,Xiaomi
40CBC0,Apple
C4618B,Apple
CC6EA4,Samsung
803A59,AT&T
588D64,Xi'an
005D73,Cisco
606D3C,Luxshare
44F034,Kaonmedia
002790,Cisco
34BA38,PAL
9829A6,COMPAL
CC4D38,Carnegie
08E689,Apple
DC56E7,Apple
A816D0,Samsung
A46CF1,Samsung
08AED6,Samsung
DCBFE9,Motorola
B42D56,Extreme
4064A4,THE
6CB2AE,Cisco
B0982B,Sagemcom
34FA9F,Ruckus
F065C2,Yanfeng
70B7E2,Jiangsu
808DB7,Hewlett
A09D86,Alcatel-Lucent
00C0FF,Seagate
D45DDF,PEGATRON
F8B568,IEEE
2C6B7D,Texas
88D171,BEGHELLI
A09DC1,China
2C4205,Lytx
A825EB,Cambridge
34E380,Genexis
5C5819,Jingsheng
B8CA04,Holtek
C4C563,TECNO
80B708,Blue
08BC20,Hangzhou
942A3F,Diversey
2031EB,HDSN
F8C96C,Fiberhome
844823,WOXTER
F41E5E,RtBrick
6C7660,KYOCERA
002102,UpdateLogic
505800,WyTec
C8D12A,Comtrend
0CEAC9,ARRIS
E82A44,Liteon
10A4BE,SHENZHEN
947BBE,Ubicquia
ECC06A,PowerChord
944996,WiSilica
F81D0F,Hitron
58C935,Chiun
0094A1,F5
BCF292,PLANTRONICS
0450DA,Qiku
E820E2,HUMAX
0026A8,DAEHAP
785C28,Prime
8C5BF0,ARRIS
1890D8,Sagemcom
88835D,FN-LINK
EC9F0D,IEEE
E078A3,Shanghai
0005A7,HYPERCHIP
088466,Novartis
309FFB,Ardomus
282373,Digita
649A08,Shenzhen
68A682,Shenzhen
587A62,Texas
547A52,CTE
F06E0B,Microsoft
346FED,Enovation
5433CB,Apple
3408BC,Apple
1C36BB,Apple
3C2EFF,Apple
00E025,dit
AC84C6,TP-LINK
001530,Dell
0CB2B7,Texas
24F677,Apple
B0CA68,Apple
C83C85,Apple
78870D,Unifiedgateways
A88200,Hisense
3820A8,ColorTokens
705896,InShow
000589,National
3CA616,vivo
9CE063,Samsung
D03169,Samsung
24F27F,Hewlett
BC0543,AVM
00B69F,Latch
842C80,Sichuan
3CC079,Shenzhen
98C5DB,Ericsson
149F3C,Samsung
FCEEE6,FORMIKE
84E327,TAILYN
0021B8,Inphi
0C9160,Hui
D8ED1C,Magna
D83134,Roku
408BF6,Shenzhen
00006B,Silicon
74373B,UNINET
7C6456,Samsung
F46E24,NEC
888279,Shenzhen
68C63A,Espressif
A0648F,ASKEY
C850E9,Raisecom
10F163,TNK
88DA1A,Redpine
98EF9B,OHSUNG
14CF8D,OHSUNG
104400,HUAWEI
B0E17E,HUAWEI
E4A7C5,HUAWEI
5C8D2D,Shanghai
90FD9F,Silicon
B430C0,York
E81DA8,Ruckus
F03D03,TECNO
DCF090,Nubia
A0FE61,Vivint
5C2BF5,Vivint
CC5A53,Cisco
006088,Analog
084ACF,GUANGDONG
2C279E,IEEE
8C5F48,Continental
947EB9,National
646E69,Liteon
706BB9,Cisco
D4389C,Sony
00C0EE,KYOCERA
245FDF,KYOCERA
9C63ED,zte
74F661,Schneider
B8634D,Apple
24C42F,Philips
2CB21A,Phicomm
A4E975,Apple
3035AD,Apple
844167,Apple
9800C6,Apple
AC1F74,Apple
A85C2C,Apple
00DB70,Apple
FCE557,Nokia
48C58D,Lear
00289F,Semptian
9C305B,Hon
104E89,Garmin
D8C497,Quanta
BCC342,Panasonic
001BD3,Panasonic
CC7EE7,Panasonic
20C6EB,Panasonic
64B5C6,Nintendo
2830AC,Frontiir
D4D2E5,BKAV
0050B5,FICHET
001439,Blonder
20A6CD,Hewlett
84802D,Cisco
001987,Panasonic
741C27,ITEL
00A0AC,GILAT
002609,Phyllis
28F537,IEEE
94D9B3,TP-LINK
C84029,Fiberhome
F86EEE,HUAWEI
7802B1,Cisco
B40F3B,Tenda
00188D,Nokia
0015AB,PRO
5876C5,DIGI
A8B2DA,FUJITSU
001354,Zcomax
78D800,IEEE
0835B2,CoreEdge
4C49E3,Xiaomi
245880,VIZEO
